StockCode	StockName	CatID	StockID	ExchangeCode	ExchangeName
CII	Công ty C? ph?n ??u t? H? t?ng K? thu?t TP.HCM	4	249	4	VN30
CTD	Công ty C? ph?n Xây d?ng COTECCONS	4	93	4	VN30
CTG	Ngân hàng Th??ng m?i C? ph?n Công Th??ng Vi?t Nam	4	509	4	VN30
DHG	Công ty C? ph?n D??c H?u Giang	4	428	4	VN30
DPM	T?ng Công ty Phân bón và Hóa ch?t D?u khí - Công ty C? ph?n	4	14	4	VN30
EIB	Ngân hàng Th??ng m?i C? ph?n Xu?t Nh?p kh?u Vi?t Nam	4	16	4	VN30
FPT	Công ty C? ph?n FPT	4	102	4	VN30
GAS	T?ng Công ty Khí Vi?t Nam - Công ty C? ph?n	4	906	4	VN30
GMD	Công ty C? ph?n GEMADEPT	4	178	4	VN30
HDB	Ngân hàng TMCP Phát tri?n TP.H? Chí Minh	4	13144	4	VN30
HPG	Công ty C? ph?n T?p ?oàn Hòa Phát	4	186	4	VN30
MBB	Ngân hàng Th??ng m?i C? ph?n Quân ??i	4	890	4	VN30
MSN	Công ty C? ph?n T?p ?oàn MaSan	4	121	4	VN30
MWG	Công ty C? ph?n ??u t? Th? Gi?i Di ??ng	4	12155	4	VN30
NVL	Công ty C? ph?n T?p ?oàn ??u t? ??a ?c No Va	4	12637	4	VN30
PNJ	Công ty C? ph?n Vàng b?c ?á quý Phú Nhu?n	4	465	4	VN30
REE	Công ty C? ph?n C? ?i?n L?nh	4	470	4	VN30
ROS	Công ty C? ph?n Xây d?ng FLC FAROS	4	12463	4	VN30
SAB	T?ng Công ty C? ph?n Bia – R??u – N??c gi?i khát Sài Gòn	4	12572	4	VN30
SBT	Công ty C? ph?n Thành Thành Công - Biên Hòa	4	377	4	VN30
SSI	Công ty C? ph?n Ch?ng khoán SSI	4	654	4	VN30
STB	Ngân hàng Th??ng m?i C? ph?n Sài Gòn Th??ng Tín	4	67	4	VN30
TCB	Ngân hàng TMCP K? Th??ng Vi?t Nam	4	13240	4	VN30
VCB	Ngân hàng TMCP Ngo?i Th??ng Vi?t Nam	4	148	4	VN30
VHM	Công ty C? ph?n Vinhomes	4	13232	4	VN30
VIC	T?p ?oàn VINGROUP - Công ty C? ph?n	4	150	4	VN30
VJC	Công ty C? ph?n Hàng không VietJet	4	12767	4	VN30
VNM	Công ty C? ph?n S?a Vi?t Nam	4	586	4	VN30
VPB	Ngân hàng TMCP Vi?t Nam Th?nh V??ng	4	13004	4	VN30
VRE	Công ty C? ph?n Vincom Retail	4	249	4	VN30
